time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
365,1.383663,0.8139194,0.6000004,0.090256416,62,19,19.605438,20.227106
367,1.4158975,0.8139194,0.6000004,0.089450548,62,19,19.713074,20.549452
368,1.418315,0.8139194,0.6000004,0.089450548,62,19,19.793732,20.710622
369,1.4223443,0.84373624,0.6000004,0.089450548,62,19,19.793732,20.710622
371,1.4223443,0.84373624,0.6000004,0.089450548,62,19,19.793732,20.710622
372,1.4312087,0.84373624,0.6000004,0.08542124,62,19,19.713074,20.710622
373,1.4312087,0.84373624,0.6000004,0.08542124,62,19,19.793732,20.710622
375,1.4304029,0.92673992,0.6000004,0.08542124,62,19,19.793732,20.871796
376,1.4304029,0.8034432,0.6000004,0.08542124,62,19,19.820588,20.871796
377,1.4304029,0.8034432,0.6000004,0.08703297,62,19,19.820588,20.871796
378,1.423956,0.8034432,0.6000004,0.08703297,62,19,19.820588,20.871796
380,1.412674,0.8501831,0.6000004,0.08703297,62,19,19.686188,20.791208
381,1.4102564,0.8034432,0.6000004,0.08703297,62,19,19.524536,20.468866
382,1.4102564,0.8501831,0.6000004,0.08703297,62,19,19.524536,20.468866
384,1.412674,1.0097436,0.6000004,0.08703297,62,19,19.416596,20.468866
385,1.4102564,0.8501831,0.6000004,0.086227108,62,19,19.33551,20.468866
386,1.3756044,0.98556776,0.6000004,0.086227108,62,19,19.416596,20.388278
387,1.360293,0.98556776,0.6000004,0.08461539,62,19,19.362548,20.388278
389,1.360293,0.9831502,0.6000004,0.08461539,62,19,19.308442,20.065936
390,1.360293,0.9831502,0.6000004,0.08542124,62,19,19.362548,20.065936
391,1.3691574,0.9831502,0.6000004,0.08542124,62,19,19.470582,20.065936
393,1.3788278,0.8131136,0.6000004,0.08542124,62,19,19.362548,20.065936
394,1.3788278,0.8131136,0.6000004,0.08542124,62,19,19.362548,20.065936
395,1.383663,0.8372894,0.6000004,0.086227108,62,19,19.470582,20.065936
396,1.383663,0.8131136,0.6000004,0.08783882,62,19,19.470582,20.065936
398,1.383663,0.8372894,0.6000004,0.086227108,62,19,19.659272,19.904762
399,1.4215384,0.8767765,0.6000004,0.086227108,62,19,19.927918,19.904762
400,1.4215384,0.8372894,0.6000004,0.08703297,62,19,19.927918,20.710622
402,1.4247619,0.8767765,0.6000004,0.08703297,62,19,19.927918,20.791208
403,1.4215384,0.8767765,0.6000004,0.08703297,62,19,19.874298,20.791208
404,1.4191208,0.8421245,0.6000004,0.089450548,62,19,19.632354,20.791208
405,1.407033,0.8421245,0.6000004,0.09106227,62,19,19.57846,20.871796
407,1.407033,0.85663,0.6000004,0.089450548,62,19,19.57846,20.871796
408,1.407033,0.8421245,0.6000004,0.089450548,62,19,19.57846,20.871796
409,1.3667399,0.85663,0.6000004,0.08703297,62,19,19.659272,20.468866
411,1.4078388,0.85663,0.6000004,0.08703297,62,19,19.820588,20.791208
412,1.4078388,0.810696,0.6000004,0.08703297,62,19,19.927918,20.468866
413,1.3973626,0.810696,0.6000004,0.08703297,62,19,19.927918,20.468866
414,1.3973626,0.810696,0.6000004,0.08380952,62,19,19.927918,19.985348
416,1.4030036,0.80505496,0.6000004,0.08380952,62,19,19.901124,19.985348
417,1.3973626,0.80505496,0.6000004,0.08380952,62,19,19.847442,19.985348
418,1.3973626,0.80505496,0.6000004,0.08380952,62,19,19.605438,19.985348
420,1.3772161,0.79860808,0.6000004,0.08380952,62,19,19.551514,19.985348
421,1.3772161,0.80505496,0.6000004,0.08542124,62,19,19.551514,20.14652
422,1.3619047,0.79860808,0.6000004,0.086227108,62,19,19.497558,20.14652
424,1.3764102,0.79860808,0.6000004,0.08864469,62,19,19.470582,20.227106
425,1.3772161,0.838095236,0.6000004,0.08864469,62,19,19.470582,20.791208
426,1.383663,0.838095236,0.6000004,0.08864469,62,19,19.497558,20.952382
427,1.3764102,0.838095236,0.6000004,0.086227108,62,19,19.497558,20.952382
429,1.3764102,0.9686447,0.6000004,0.08380952,62,19,19.470582,20.952382
430,1.3683516,0.9686447,0.6000004,0.08058608,62,19,19.470582,20.307692
431,1.3683516,0.9686447,0.6000004,0.08058608,62,19,19.470582,20.14652
433,1.3683516,0.9686447,0.6000004,0.08058608,62,19,19.470582,20.14652
434,1.3683516,0.948498136,0.6000004,0.08058608,62,19,19.57846,20.14652
435,1.3683516,0.948498136,0.6000004,0.08058608,62,19,19.632354,20.14652
436,1.3627106,0.948498136,0.6000004,0.08058608,62,19,19.632354,20.14652
438,1.3627106,0.9323809,0.6000004,0.08058608,62,19,19.57846,20.14652
439,1.3683516,0.9323809,0.6000004,0.08461539,62,19,19.632354,20.065936
440,1.3586813,0.9323809,0.6000004,0.08380952,62,19,19.686188,20.14652
442,1.3651282,0.917069536,0.6000004,0.08461539,62,19,19.874298,20.065936
443,1.3683516,0.917069536,0.6000004,0.08461539,62,19,19.874298,20.14652
